"";"scinam";"N_offspring";"prop_epp_young";"N_broods";"prop_epp_broods";"quasi_parasitism";"method";"authors";"year";"journal";"volume";"title";"number_of_seasons";"latit";"longit";"coordinates_exact";"area_name";"area_size_string";"comments";"discard";"doi";"WOK_id";"filename";"pk";"id";"family";"common.name";"HBW.migration";"HBW.parental";"mating.system";"parental.care"
"14";"charadrius semipalmatus";85;4,7;24;4;NA;"multi-locus";"Zharikov & Nol";2000;"The Condor";"102";"Copulation behavior, mate guarding, and paternity in the semipalmated plover";2;58,45;-95,04;"Y";"30 km of Hudson bay coast east of Churchill, Manitoba, Canada";"30 km";NA;0;NA;"000085195300030";"31.pdf";31;1419;"charadriidae";"semipalmated plover";1;"pair";"monogamy";"MF"
"15";"irediparra gallinacea";36;2,8;NA;NA;NA;"microsatellite";"Haig, S.M. et al";2003;"Journal of Heredity";"94";"Parentage and Relatedness in Polyandrous Comb-Crested Jacanas Using ISSRs";1;-19,567;146,783;"N";"Kelly's Mount View property & Triangle G property, near Woodstock, about 41 km south of Townsville, Queensland, Australia";"2 areas of 5 and 10 ha respectively, 2 km apart";"weird mating system. Also weird technique (ISSR), which I think is the same as microsatellite.";0;"10.1093/jhered/esg072";"000184922700004";"J Hered-2003-Haig-302-9.pdf";576;NA;NA;NA;NA;NA;NA;NA
"16";"jacana jacana";235;7,5;74;17,9;NA;"multi-locus";"Emlen et al.";1998;"Proceedings of the Royal Society of London B";"265";"Cuckoldry as a cost of polyandry in the sex-role-reversed wattled jacana, Jacana jacana";6;9,237;-79,53;"N";"Chagres River, Panama";"13 ha";NA;0;"10.1098/rspb.1998.0584";"000077911400003";"29.pdf";29;NA;NA;NA;NA;NA;NA;NA
"17";"phalaropus fulicaria";70;8,6;18;33;NA;"multi-locus";"Dale et al.";1999;"Behavioral Ecology and Sociobiology";"46";"Frequency and timing of extrapair fertilisation in the polyandrous red phalarope (Phalaropus fulicarius)";1;69,4;-81,817;"Y";"Igloolik Island, Northwest Territories, Canada";"island of 103 km2";NA;0;"10.1007/s002650050591";"000081085000006";"346.pdf";346;1542;"scolopacidae";"red phalarope";1;"male only";"monogamy/polyandry";"M"
"18";"phalaropus lobatus";226;1,7;63;6;NA;"multi-locus";"Schamel et al.";2004;"Behavioral Ecology and Sociobiology";"57";"Mate guarding, copulation strategies and paternity in the sex-role reversed, socially polyandrous red-necked phalarope Phalaropus lobatus";9;66,5;-163,5;"Y";"Cape Espenberg, Seward Peninsula, Alaska";"2 km2";NA;0;"10.1007/s00265-004-0825-2";"000225938000002";"41.pdf";41;1541;"scolopacidae";"red-necked phalarope";1;"male only";"monogamy/polyandry";"M"
"19";"philomachus pugnax";NA;NA;66;51,5;NA;"microsatellite";"Thuman & Griffith";2005;"Animal Behaviour";"69";"Genetic similarity and the nonrandom distribution of paternity in a genetically highly polyandrous shorebird";4;57,167;18,333;"Y";"southern Gotland, Sweden";NA;NA;0;"10.1016/j.anbehav.2004.10.003";"000228511900002";"343.pdf";343;1539;"scolopacidae";"ruff";1;"female only";"polygyny";"F"
"20";"philomachus pugnax";NA;NA;34;50;NA;"multi-locus and minisatellite";"Lank et al.";2002;"Behavioral Ecology";"13";"High frequency of polyandry in a lek mating system";3;64,853;25,318;"Y";"south and east shoreline of Liminganlahti, 30 km southsouthwest of Oulu, Finland";NA;NA;0;"10.1093/beheco/13.2.209";"000174647700011";"344.pdf";344;1539;"scolopacidae";"ruff";1;"female only";"polygyny";"F"
"21";"pluvialis dominica";131;8;37;16;NA;"microsatellite";"S Yezerinac, RB Lanctot, GK Sage, SL Talbot ";2013;"The Condor";"115";"social and genetic mating system of the american golden-plover";6;71,299;-156,726;"Y";"Barrow, Alaska, USA";"six 36-ha plots";NA;0;"10.1525/cond.2013.120081";"000328295800012";"cond%2E2013%2E120081.pdf";617;1415;"charadriidae";"American golden plover";1;"pair";"monogamy";"MF"
"22";"steganopus tricolor";51;0;17;0;NA;"multi-locus";"Delehanty et al.";1998;"Animal Behaviour";"55";"Sex-role reversal and the absence of extra-pair fertilization in wilson's phalarope";1;51,417;-105,167;"Y";"Shields and Wreford sites, Last Mountain Lake, Saskatchewan, Canada";"2 sites";NA;0;"10.1006/anbe.1997.0670";"000073532300019";"345.pdf";345;1540;"scolopacidae";"Wilson's phalarope";1;"male only";"monogamy/polyandry";"M"
"23";"tryngites subruficollis";NA;NA;47;40,4;NA;"minisatellite";"Lanctot et al.";1997;"The American Naturalist";"149";"Lekking without a paradox in the buff-breasted sandpiper";2;70,2;-148,25;"Y";"near Deadhorse, Alaska, USA";"16 km2";NA;0;"10.1086/286038";"A1997WZ01800003";"342.pdf";342;1538;"scolopacidae";"buff-breasted sandpiper";1;"female only";"polygyny";""
"24";"vanellus chilensis";58;6,9;22;13,6;NA;"multi-locus";"Saracura, V. et al";2008;"The Condor";"110";"Genetic parentage and variable social structure in breeding southern lapwings";2;-15,85;-47,9;"N";"a suburban matrix outside Brasilia, Brazil";"2 locations 40 km apart";"coordinates are midpoint between 2 sites";0;"10.1525/cond.2008.8477";"000260732000017";"cond%2E2008%2E8477.pdf";592;1410;"charadriidae";"southern lapwing";1;"cooperative";"trio";"MF"
